1	2017-09-09	krasner	An Evening with Benjamin Krasner
2	2017-10-14	ekery_boudreau	An Evening with Amanda Ekery
3	2017-11-11	jeong	An evening with Seolyeong Jeong
4	2017-12-09	lee_choi	An Evening with Dongwon Lee
5	2018-01-13	yao	An evening with Chengcheng Yao
6	2018-02-10	simsive	An Evening with Sophiko Simsive
7	2018-03-10	wu	An Evening with Christine Wu
8	2018-04-14	ekery_boudreau2	Jazz Reimagined
9	2018-05-12	giesbrecht	An evening with Robin Giesbrecht
10	2018-06-15	goodpasture	An evening with Christopher Goodpasture
11	2018-09-08	yao_chaplikov	An Evening with the Yao–Chaplikov Duo
12	2018-10-19	curtis_opera_theatre	An evening with the Curtis Opera Theatre
13	2018-11-10	strata	An Evening with Gabriele Strata
14	2018-12-01	tetzloff	An Evening with Reed Tetzloff
15	2018-12-22	orth_duo	An Evening with the Orth Duo
16	2019-01-12	huang	Hilda Huang in Concert
17	2019-02-09	wang_xu	An Evening with Sophie Wang
18	2019-03-02	giesbrecht_korting	An Evening with Arianna and Robin
19	2019-04-20	poon	An Evening with Tiffany Poon
20	2019-05-11	tekalli_duo	An Evening with the Tekalli Duo
21	2019-06-07	garbot_orsen	Music for Violin and Viola
22	2019-10-12	horowitz_wu	An Evening with Ariel Horowitz
23	2019-11-09	tang	An Evening with Stephanie Tang
24	2020-01-04	lu	An Evening with Janice Lu
25	2020-01-25	orth	An Evening with Kyle Orth
26	2020-02-15	szokolay_simsive	An Evening with Sophia Szokolay
27	2020-03-14	tetzloff2	Reed Tetzloff in Concert
28	2020-09-12	aya_trio	An Afternoon with the AYA Trio
29	2020-10-03	gusev	Ivan Gusev in Concert
30	2021-04-03	mak	Jonathan Mak in Concert
31	2021-04-17	li	An Afternoon with Ying Li
32	2021-05-01	bartosik	Nora Bartosik in Concert
33	2021-05-08	honn_mak	An Afternoon with Jillian Honn
34	2021-05-15	gabrielian	Tanya Gabrielian in Concert
35	2021-05-29	kasdan_amper	Becca Kasdan in Concert
36	2021-06-19	qian	Anran Qian in Concert
37	2021-06-26	lewis_ozel	An Afternoon with Geneva Lewis
